 b73 | 07/08/2024 | 10:35:38 AM EEST | Session Audit #0xff |  | Asserted
 b74 | 07/08/2024 | 10:37:48 AM EEST | Session Audit #0xff |  | Asserted
 b75 | 07/08/2024 | 10:42:06 AM EEST | Session Audit #0xff |  | Asserted
 b76 | 07/08/2024 | 10:42:16 AM EEST | Session Audit #0xff |  | Asserted
 b77 | 07/08/2024 | 10:44:16 AM EEST | Session Audit #0xff |  | Asserted
 b78 | 07/08/2024 | 10:46:25 AM EEST | Session Audit #0xff |  | Asserted
 b79 | 07/08/2024 | 10:48:39 AM EEST | Session Audit #0xff |  | Asserted
 b7a | 07/08/2024 | 10:50:50 AM EEST | Session Audit #0xff |  | Asserted
 b7b | 07/08/2024 | 10:54:10 AM EEST | Session Audit #0xff |  | Asserted
 b7c | 07/08/2024 | 10:55:14 AM EEST | Session Audit #0xff |  | Asserted
 b7d | 07/08/2024 | 11:03:59 AM EEST | Session Audit #0xff |  | Asserted
 b7e | 07/08/2024 | 11:06:01 AM EEST | Session Audit #0xff |  | Asserted
 b7f | 07/08/2024 | 11:15:06 AM EEST | Session Audit #0xff |  | Asserted
 b80 | 07/08/2024 | 11:17:15 AM EEST | Session Audit #0xff |  | Asserted
 b81 | 07/08/2024 | 11:17:41 AM EEST | Session Audit #0xff |  | Asserted
 b82 | 07/08/2024 | 11:19:30 AM EEST | Session Audit #0xff |  | Asserted
 b83 | 07/08/2024 | 11:21:34 AM EEST | Session Audit #0xff |  | Asserted
 b84 | 07/08/2024 | 11:23:41 AM EEST | Session Audit #0xff |  | Asserted
 b85 | 07/08/2024 | 11:25:46 AM EEST | Session Audit #0xff |  | Asserted
 b86 | 07/08/2024 | 11:27:55 AM EEST | Session Audit #0xff |  | Asserted
 b87 | 07/08/2024 | 11:29:24 AM EEST | Session Audit #0xff |  | Asserted
 b88 | 07/08/2024 | 11:30:03 AM EEST | Session Audit #0xff |  | Asserted
 b89 | 07/08/2024 | 11:32:13 AM EEST | Session Audit #0xff |  | Asserted
 b8a | 07/08/2024 | 11:34:20 AM EEST | Session Audit #0xff |  | Asserted
 b8b | 07/08/2024 | 11:36:34 AM EEST | Session Audit #0xff |  | Asserted
 b8c | 07/08/2024 | 11:38:45 AM EEST | Session Audit #0xff |  | Asserted
 b8d | 07/08/2024 | 11:40:54 AM EEST | Session Audit #0xff |  | Asserted
 b8e | 07/08/2024 | 11:41:02 AM EEST | Session Audit #0xff |  | Asserted
 b8f | 07/08/2024 | 11:43:00 AM EEST | Session Audit #0xff |  | Asserted
 b90 | 07/08/2024 | 11:45:13 AM EEST | Session Audit #0xff |  | Asserted
 b91 | 07/08/2024 | 11:47:24 AM EEST | Session Audit #0xff |  | Asserted
 b92 | 07/08/2024 | 11:51:41 AM EEST | Session Audit #0xff |  | Asserted
 b93 | 07/08/2024 | 11:53:00 AM EEST | Session Audit #0xff |  | Asserted
 b94 | 07/08/2024 | 11:53:50 AM EEST | Session Audit #0xff |  | Asserted
 b95 | 07/08/2024 | 11:55:57 AM EEST | Session Audit #0xff |  | Asserted
 b96 | 07/08/2024 | 12:00:16 PM EEST | Session Audit #0xff |  | Asserted
 b97 | 07/08/2024 | 12:02:26 PM EEST | Session Audit #0xff |  | Asserted
 b98 | 07/08/2024 | 12:04:32 PM EEST | Session Audit #0xff |  | Asserted
 b99 | 07/08/2024 | 12:04:35 PM EEST | Session Audit #0xff |  | Asserted
 b9a | 07/08/2024 | 12:06:45 PM EEST | Session Audit #0xff |  | Asserted
 b9b | 07/08/2024 | 12:08:56 PM EEST | Session Audit #0xff |  | Asserted
 b9c | 07/08/2024 | 12:13:17 PM EEST | Session Audit #0xff |  | Asserted
 b9d | 07/08/2024 | 12:15:25 PM EEST | Session Audit #0xff |  | Asserted
 b9e | 07/08/2024 | 12:16:21 PM EEST | Session Audit #0xff |  | Asserted
 b9f | 07/08/2024 | 12:19:40 PM EEST | Session Audit #0xff |  | Asserted
 ba0 | 07/08/2024 | 12:21:47 PM EEST | Session Audit #0xff |  | Asserted
 ba1 | 07/08/2024 | 12:23:52 PM EEST | Session Audit #0xff |  | Asserted
 ba2 | 07/08/2024 | 12:28:13 PM EEST | Session Audit #0xff |  | Asserted
 ba3 | 07/08/2024 | 12:28:14 PM EEST | Session Audit #0xff |  | Asserted
 ba4 | 07/08/2024 | 12:30:25 PM EEST | Session Audit #0xff |  | Asserted
 ba5 | 07/08/2024 | 12:34:48 PM EEST | Session Audit #0xff |  | Asserted
 ba6 | 07/08/2024 | 12:36:56 PM EEST | Session Audit #0xff |  | Asserted
 ba7 | 07/08/2024 | 12:39:07 PM EEST | Session Audit #0xff |  | Asserted
 ba8 | 07/08/2024 | 12:39:59 PM EEST | Session Audit #0xff |  | Asserted
 ba9 | 07/08/2024 | 12:41:16 PM EEST | Session Audit #0xff |  | Asserted
 baa | 07/08/2024 | 12:43:21 PM EEST | Session Audit #0xff |  | Asserted
 bab | 07/08/2024 | 12:45:31 PM EEST | Session Audit #0xff |  | Asserted
 bac | 07/08/2024 | 12:47:34 PM EEST | Session Audit #0xff |  | Asserted
 bad | 07/08/2024 | 12:49:39 PM EEST | Session Audit #0xff |  | Asserted
 bae | 07/08/2024 | 12:51:48 PM EEST | Session Audit #0xff |  | Asserted
 baf | 07/08/2024 | 12:51:49 PM EEST | Session Audit #0xff |  | Asserted
 bb0 | 07/08/2024 | 12:53:59 PM EEST | Session Audit #0xff |  | Asserted
 bb1 | 07/08/2024 | 12:58:19 PM EEST | Session Audit #0xff |  | Asserted
 bb2 | 07/08/2024 | 01:00:31 PM EEST | Session Audit #0xff |  | Asserted
 bb3 | 07/08/2024 | 01:02:42 PM EEST | Session Audit #0xff |  | Asserted
 bb4 | 07/08/2024 | 01:03:39 PM EEST | Session Audit #0xff |  | Asserted
 bb5 | 07/08/2024 | 01:04:51 PM EEST | Session Audit #0xff |  | Asserted
 bb6 | 07/08/2024 | 01:06:59 PM EEST | Session Audit #0xff |  | Asserted
 bb7 | 07/08/2024 | 01:13:21 PM EEST | Session Audit #0xff |  | Asserted
 bb8 | 07/08/2024 | 01:15:39 PM EEST | Session Audit #0xff |  | Asserted
 bb9 | 07/08/2024 | 01:16:06 PM EEST | Session Audit #0xff |  | Asserted
 bba | 07/08/2024 | 01:18:18 PM EEST | Session Audit #0xff |  | Asserted
 bbb | 07/08/2024 | 01:22:36 PM EEST | Session Audit #0xff |  | Asserted
 bbc | 07/08/2024 | 01:24:44 PM EEST | Session Audit #0xff |  | Asserted
 bbd | 07/08/2024 | 01:26:52 PM EEST | Session Audit #0xff |  | Asserted
 bbe | 07/08/2024 | 01:27:27 PM EEST | Session Audit #0xff |  | Asserted
 bbf | 07/08/2024 | 01:29:05 PM EEST | Session Audit #0xff |  | Asserted
 bc0 | 07/08/2024 | 01:31:11 PM EEST | Session Audit #0xff |  | Asserted
 bc1 | 07/08/2024 | 01:33:19 PM EEST | Session Audit #0xff |  | Asserted
 bc2 | 07/08/2024 | 01:35:32 PM EEST | Session Audit #0xff |  | Asserted
 bc3 | 07/08/2024 | 01:39:12 PM EEST | Session Audit #0xff |  | Asserted
 bc4 | 07/08/2024 | 01:39:50 PM EEST | Session Audit #0xff |  | Asserted
 bc5 | 07/08/2024 | 01:42:00 PM EEST | Session Audit #0xff |  | Asserted
 bc6 | 07/08/2024 | 01:44:06 PM EEST | Session Audit #0xff |  | Asserted
 bc7 | 07/08/2024 | 01:46:14 PM EEST | Session Audit #0xff |  | Asserted
 bc8 | 07/08/2024 | 01:51:01 PM EEST | Session Audit #0xff |  | Asserted
 bc9 | 07/08/2024 | 01:52:37 PM EEST | Session Audit #0xff |  | Asserted
 bca | 07/08/2024 | 01:54:43 PM EEST | Session Audit #0xff |  | Asserted
 bcb | 07/08/2024 | 01:56:52 PM EEST | Session Audit #0xff |  | Asserted
 bcc | 07/08/2024 | 01:59:02 PM EEST | Session Audit #0xff |  | Asserted
 bcd | 07/08/2024 | 02:01:15 PM EEST | Session Audit #0xff |  | Asserted
 bce | 07/08/2024 | 02:02:50 PM EEST | Session Audit #0xff |  | Asserted
 bcf | 07/08/2024 | 02:03:25 PM EEST | Session Audit #0xff |  | Asserted
 bd0 | 07/08/2024 | 02:05:38 PM EEST | Session Audit #0xff |  | Asserted
 bd1 | 07/08/2024 | 02:10:00 PM EEST | Session Audit #0xff |  | Asserted
 bd2 | 07/08/2024 | 02:12:13 PM EEST | Session Audit #0xff |  | Asserted
 bd3 | 07/08/2024 | 02:14:22 PM EEST | Session Audit #0xff |  | Asserted
 bd4 | 07/08/2024 | 02:14:41 PM EEST | Session Audit #0xff |  | Asserted
 bd5 | 07/08/2024 | 02:16:36 PM EEST | Session Audit #0xff |  | Asserted
 bd6 | 07/08/2024 | 02:18:44 PM EEST | Session Audit #0xff |  | Asserted
 bd7 | 07/08/2024 | 02:21:00 PM EEST | Session Audit #0xff |  | Asserted
 bd8 | 07/08/2024 | 02:23:05 PM EEST | Session Audit #0xff |  | Asserted
 bd9 | 07/08/2024 | 02:25:18 PM EEST | Session Audit #0xff |  | Asserted
 bda | 07/08/2024 | 02:26:30 PM EEST | Session Audit #0xff |  | Asserted
 bdb | 07/08/2024 | 02:27:29 PM EEST | Session Audit #0xff |  | Asserted
 bdc | 07/08/2024 | 02:29:41 PM EEST | Session Audit #0xff |  | Asserted
 bdd | 07/08/2024 | 02:31:55 PM EEST | Session Audit #0xff |  | Asserted
 bde | 07/08/2024 | 02:34:05 PM EEST | Session Audit #0xff |  | Asserted
 bdf | 07/08/2024 | 02:36:23 PM EEST | Session Audit #0xff |  | Asserted
 be0 | 07/08/2024 | 02:38:25 PM EEST | Session Audit #0xff |  | Asserted
 be1 | 07/08/2024 | 02:38:33 PM EEST | Session Audit #0xff |  | Asserted
 be2 | 07/08/2024 | 02:40:44 PM EEST | Session Audit #0xff |  | Asserted
 be3 | 07/08/2024 | 02:42:54 PM EEST | Session Audit #0xff |  | Asserted
 be4 | 07/08/2024 | 02:47:12 PM EEST | Session Audit #0xff |  | Asserted
 be5 | 07/08/2024 | 02:49:20 PM EEST | Session Audit #0xff |  | Asserted
 be6 | 07/08/2024 | 02:50:13 PM EEST | Session Audit #0xff |  | Asserted
 be7 | 07/08/2024 | 02:51:35 PM EEST | Session Audit #0xff |  | Asserted
 be8 | 07/08/2024 | 02:53:47 PM EEST | Session Audit #0xff |  | Asserted
 be9 | 07/08/2024 | 02:56:01 PM EEST | Session Audit #0xff |  | Asserted
 bea | 07/08/2024 | 02:58:11 PM EEST | Session Audit #0xff |  | Asserted
 beb | 07/08/2024 | 03:00:22 PM EEST | Session Audit #0xff |  | Asserted
 bec | 07/08/2024 | 03:01:44 PM EEST | Session Audit #0xff |  | Asserted
 bed | 07/08/2024 | 03:04:42 PM EEST | Session Audit #0xff |  | Asserted
 bee | 07/08/2024 | 03:06:51 PM EEST | Session Audit #0xff |  | Asserted
 bef | 07/08/2024 | 03:09:02 PM EEST | Session Audit #0xff |  | Asserted
